stock,date,time,sentiment,year,month,day,open,high,low,close,adj_close,volume
META,2023-10-13,23:59:41,false,2023,10,13,323.529999,325.049988,312.369995,314.690002,314.356476,21341000
META,2023-04-26,16:37:31,true,2023,04,26,212.500000,214.110001,208.880005,209.399994,209.178055,41992700
META,2024-02-02,18:02:40,inconclusive,2024,02,02,459.600006,485.959991,453.010010,474.989990,474.486542,84615500
META,2023-04-06,19:51:44,false,2023,04,06,209.250000,216.940002,208.649994,216.100006,215.870956,26104400
META,2024-02-02,15:49:07,inconclusive,2024,02,02,459.600006,485.959991,453.010010,474.989990,474.486542,84615500
META,2023-04-26,20:32:23,inconclusive,2023,04,26,212.500000,214.110001,208.880005,209.399994,209.178055,41992700
META,2024-02-02,11:08:45,inconclusive,2024,02,02,459.600006,485.959991,453.010010,474.989990,474.486542,84615500
META,2024-02-02,17:48:14,false,2024,02,02,459.600006,485.959991,453.010010,474.989990,474.486542,84615500
META,2023-06-23,17:27:46,inconclusive,2023,06,23,281.510010,289.670013,278.950012,288.730011,288.423981,50988400
META,2023-02-22,21:18:19,inconclusive,2023,02,22,,,,,,
META,2023-03-15,11:15:38,inconclusive,2023,03,15,192.949997,197.779999,190.839996,197.750000,197.540405,42123600
META,2024-01-11,03:28:56,true,2024,01,11,372.130005,372.779999,362.929993,369.670013,369.278198,17205400
META,2023-10-25,19:15:26,true,2023,10,25,310.000000,310.880005,298.839996,299.529999,299.212524,42192500
META,2024-02-02,20:08:54,false,2024,02,02,459.600006,485.959991,453.010010,474.989990,474.486542,84615500
META,2023-03-23,14:11:21,inconclusive,2023,03,23,202.839996,207.880005,202.149994,204.279999,204.063492,27389700
META,2023-07-26,20:06:14,true,2023,07,26,301.190002,301.769989,291.899994,298.570007,298.253571,47256900
META,2023-12-09,20:23:19,true,2023,12,09,323.089996,333.170013,323.000000,332.750000,332.397308,14077500
META,2023-12-08,17:20:07,inconclusive,2023,12,08,323.089996,333.170013,323.000000,332.750000,332.397308,14077500
META,2023-12-13,19:08:58,inconclusive,2023,12,13,333.929993,338.369995,332.640015,334.739990,334.385193,16353300
META,2023-05-23,14:04:57,inconclusive,2023,05,23,246.809998,251.610001,246.649994,246.740005,246.478485,17748100
META,2024-01-05,21:40:58,false,2024,01,05,346.989990,353.500000,346.260010,351.950012,351.576996,13920700
META,2023-04-26,20:24:25,inconclusive,2023,04,26,212.500000,214.110001,208.880005,209.399994,209.178055,41992700
META,2023-06-23,17:46:40,inconclusive,2023,06,23,281.510010,289.670013,278.950012,288.730011,288.423981,50988400
META,2024-02-05,19:25:05,false,2024,02,05,469.880005,471.899994,459.220001,459.410004,458.923065,40832400
META,2023-07-27,02:13:15,false,2023,07,27,325.119995,325.350006,309.839996,311.709991,311.379608,64229200
META,2024-02-16,19:35:09,true,2024,02,16,478.109985,478.959991,469.209991,473.320007,472.818329,23306500
META,2023-05-29,16:55:23,inconclusive,2023,05,29,,,,,,
META,2024-01-27,00:45:47,inconclusive,2024,01,27,394.350006,396.790009,391.589996,394.140015,393.722260,13163700
META,2023-09-05,03:31:58,inconclusive,2023,09,05,297.019989,301.390015,295.510010,300.149994,299.831879,14956000
META,2023-12-07,15:35:51,inconclusive,2023,12,07,317.769989,328.239990,317.769989,326.589996,326.243835,15905100
META,2023-02-19,17:22:08,inconclusive,2023,02,19,,,,,,
META,2024-02-10,08:13:53,inconclusive,2024,02,10,472.950012,473.589996,467.470001,468.109985,467.613831,18413100
META,2023-08-22,17:11:46,false,2023,08,22,292.549988,292.899994,286.750000,287.600006,287.295197,12999900
META,2023-12-07,18:53:55,false,2023,12,07,317.769989,328.239990,317.769989,326.589996,326.243835,15905100
META,2023-07-06,09:12:34,inconclusive,2023,07,06,295.890015,298.119995,291.309998,291.989990,291.680511,47600500
META,2023-12-07,21:13:55,true,2023,12,07,317.769989,328.239990,317.769989,326.589996,326.243835,15905100
META,2023-04-26,20:12:34,inconclusive,2023,04,26,212.500000,214.110001,208.880005,209.399994,209.178055,41992700
META,2023-06-23,14:28:53,inconclusive,2023,06,23,281.510010,289.670013,278.950012,288.730011,288.423981,50988400
META,2024-02-01,21:34:00,false,2024,02,01,393.940002,400.500000,393.049988,394.779999,394.361572,29727100
META,2023-08-08,01:40:00,true,2023,08,08,314.399994,317.890015,310.109985,312.640015,312.308655,15183500
META,2024-02-07,22:35:09,inconclusive,2024,02,07,458.000000,471.519989,456.179993,469.589996,469.092285,23066000
META,2024-02-02,21:34:22,inconclusive,2024,02,02,459.600006,485.959991,453.010010,474.989990,474.486542,84615500
META,2023-10-26,14:53:47,false,2023,10,26,295.000000,295.000000,279.399994,288.350006,288.044373,66684100
META,2023-03-07,03:32:31,false,2023,03,07,189.000000,190.360001,184.009995,184.509995,184.314438,36701500
META,2024-02-15,19:13:21,inconclusive,2024,02,15,475.279999,488.619995,472.220001,484.029999,483.516968,24212300
META,2023-07-26,17:05:26,false,2023,07,26,301.190002,301.769989,291.899994,298.570007,298.253571,47256900
META,2024-02-02,03:19:48,false,2024,02,02,459.600006,485.959991,453.010010,474.989990,474.486542,84615500
META,2023-03-03,18:15:50,true,2023,03,03,178.919998,186.619995,177.050003,185.250000,185.053650,45877700
META,2023-03-14,16:11:54,true,2023,03,14,187.580002,194.320007,186.559998,194.020004,193.814362,41642600
META,2023-12-07,16:04:41,true,2023,12,07,317.769989,328.239990,317.769989,326.589996,326.243835,15905100
META,2023-03-15,20:20:37,true,2023,03,15,192.949997,197.779999,190.839996,197.750000,197.540405,42123600
META,2023-10-25,16:45:11,false,2023,10,25,310.000000,310.880005,298.839996,299.529999,299.212524,42192500
META,2023-07-06,19:29:08,inconclusive,2023,07,06,295.890015,298.119995,291.309998,291.989990,291.680511,47600500
META,2023-06-15,16:53:10,inconclusive,2023,06,15,272.299988,283.989990,271.420013,281.829987,281.531281,25973500
META,2024-02-08,03:38:56,false,2024,02,08,468.320007,470.589996,465.029999,470.000000,469.501862,18815100
META,2023-03-29,17:29:15,inconclusive,2023,03,29,203.559998,205.720001,202.539993,205.350006,205.132355,18851100
META,2023-08-22,00:22:04,inconclusive,2023,08,22,292.549988,292.899994,286.750000,287.600006,287.295197,12999900
META,2023-07-18,08:51:54,inconclusive,2023,07,18,310.880005,314.200012,307.619995,312.049988,311.719238,20764600
META,2023-04-14,19:16:06,inconclusive,2023,04,14,217.880005,222.110001,217.550003,221.490005,221.255249,21591200
META,2023-12-07,18:56:43,inconclusive,2023,12,07,317.769989,328.239990,317.769989,326.589996,326.243835,15905100
META,2023-07-27,12:24:46,true,2023,07,27,325.119995,325.350006,309.839996,311.709991,311.379608,64229200
META,2023-07-06,23:02:39,true,2023,07,06,295.890015,298.119995,291.309998,291.989990,291.680511,47600500
META,2024-02-01,23:32:01,inconclusive,2024,02,01,393.940002,400.500000,393.049988,394.779999,394.361572,29727100
META,2023-04-26,20:47:33,true,2023,04,26,212.500000,214.110001,208.880005,209.399994,209.178055,41992700
META,2023-07-06,02:00:31,true,2023,07,06,295.890015,298.119995,291.309998,291.989990,291.680511,47600500
META,2023-02-19,05:43:28,inconclusive,2023,02,19,,,,,,
META,2023-07-21,19:04:52,true,2023,07,21,304.570007,305.459991,291.200012,294.260010,293.948120,42089700
META,2023-03-16,00:00:19,inconclusive,2023,03,16,198.259995,205.759995,196.089996,204.929993,204.712784,50447100
META,2023-04-27,13:46:46,true,2023,04,27,239.889999,241.690002,236.770004,238.559998,238.307144,71196500
META,2023-04-28,08:29:47,true,2023,04,28,239.009995,240.429993,235.750000,240.320007,240.065292,39554000
META,2023-07-27,22:37:05,inconclusive,2023,07,27,325.119995,325.350006,309.839996,311.709991,311.379608,64229200
META,2024-01-11,19:18:48,true,2024,01,11,372.130005,372.779999,362.929993,369.670013,369.278198,17205400
META,2023-07-20,06:39:55,inconclusive,2023,07,20,313.500000,315.540009,302.220001,302.519989,302.199341,23836900
META,2024-02-06,08:13:21,true,2024,02,06,464.000000,467.119995,453.000000,454.720001,454.238037,21655200
META,2023-02-22,18:35:02,false,2023,02,22,,,,,,
META,2024-02-03,07:53:10,true,2024,02,03,459.600006,485.959991,453.010010,474.989990,474.486542,84615500
META,2023-09-18,14:10:08,inconclusive,2023,09,18,298.190002,303.600006,297.799988,302.549988,302.229309,14234200
META,2023-12-07,18:06:41,inconclusive,2023,12,07,317.769989,328.239990,317.769989,326.589996,326.243835,15905100
META,2023-04-27,01:10:53,false,2023,04,27,239.889999,241.690002,236.770004,238.559998,238.307144,71196500
META,2023-05-02,09:37:22,inconclusive,2023,05,02,243.179993,244.919998,238.990005,239.240005,238.986435,24350100
META,2023-05-02,12:45:51,inconclusive,2023,05,02,243.179993,244.919998,238.990005,239.240005,238.986435,24350100
META,2023-05-22,10:24:04,inconclusive,2023,05,22,245.410004,253.570007,245.119995,248.320007,248.056808,27738500
META,2024-01-19,00:54:55,inconclusive,2024,01,19,379.000000,384.359985,377.970001,383.450012,383.043610,21470100
META,2024-01-17,15:45:35,inconclusive,2024,01,17,366.299988,368.540009,358.609985,368.369995,367.979553,12724800
META,2023-08-01,09:52:39,inconclusive,2023,08,01,317.540009,324.140015,314.660004,322.709991,322.367950,22817900
META,2024-01-18,21:37:29,inconclusive,2024,01,18,371.489990,376.850006,370.950012,376.130005,375.731354,16354300
META,2024-02-01,21:59:19,true,2024,02,01,393.940002,400.500000,393.049988,394.779999,394.361572,29727100
META,2024-02-02,02:03:04,inconclusive,2024,02,02,459.600006,485.959991,453.010010,474.989990,474.486542,84615500
META,2023-10-05,17:15:15,false,2023,10,05,304.630005,306.209991,299.500000,304.790009,304.466980,19130000
META,2023-04-28,08:18:06,true,2023,04,28,239.009995,240.429993,235.750000,240.320007,240.065292,39554000
META,2023-07-19,05:06:23,true,2023,07,19,313.029999,318.679993,310.519989,316.010010,315.675079,21763700
META,2024-02-08,11:55:14,inconclusive,2024,02,08,468.320007,470.589996,465.029999,470.000000,469.501862,18815100
META,2023-04-27,13:39:35,true,2023,04,27,239.889999,241.690002,236.770004,238.559998,238.307144,71196500
META,2023-08-10,02:00:49,true,2023,08,10,307.940002,312.339996,303.869995,305.739990,305.415955,14358900
META,2023-06-16,18:14:18,true,2023,06,16,284.750000,287.850006,280.130005,281.000000,280.702179,43102500
META,2023-05-11,21:32:54,true,2023,05,11,233.050003,238.210007,232.300003,235.789993,235.540085,20449000
META,2023-04-26,20:39:24,false,2023,04,26,212.500000,214.110001,208.880005,209.399994,209.178055,41992700
META,2024-02-02,20:17:55,false,2024,02,02,459.600006,485.959991,453.010010,474.989990,474.486542,84615500
META,2023-07-21,17:34:36,inconclusive,2023,07,21,304.570007,305.459991,291.200012,294.260010,293.948120,42089700
META,2024-02-09,21:03:00,false,2024,02,09,472.950012,473.589996,467.470001,468.109985,467.613831,18413100
META,2024-01-29,01:48:24,inconclusive,2024,01,29,394.989990,402.929993,393.100006,401.019989,400.594940,18742400
META,2023-03-23,20:12:45,true,2023,03,23,202.839996,207.880005,202.149994,204.279999,204.063492,27389700
META,2023-08-02,16:32:22,true,2023,08,02,318.000000,318.390015,310.649994,314.309998,313.976868,20461100
META,2024-02-02,19:15:17,inconclusive,2024,02,02,459.600006,485.959991,453.010010,474.989990,474.486542,84615500
META,2024-01-28,18:56:09,true,2024,01,28,394.350006,396.790009,391.589996,394.140015,393.722260,13163700
META,2024-02-17,10:30:04,inconclusive,2024,02,17,478.109985,478.959991,469.209991,473.320007,472.818329,23306500
META,2023-08-10,20:37:56,false,2023,08,10,307.940002,312.339996,303.869995,305.739990,305.415955,14358900
META,2024-01-27,03:29:35,inconclusive,2024,01,27,394.350006,396.790009,391.589996,394.140015,393.722260,13163700
META,2023-12-21,23:33:19,false,2023,12,21,352.980011,356.410004,349.209991,354.089996,353.714691,15289600
META,2023-12-31,12:38:08,inconclusive,2023,12,31,358.989990,360.000000,351.820007,353.959991,353.584839,14980500
META,2024-02-01,21:45:05,inconclusive,2024,02,01,393.940002,400.500000,393.049988,394.779999,394.361572,29727100
