stock,date,senti_raise,senti_drop,senti_inconclusive,year,month,day,open,high,low,close,adj_close,volume
AAPL,2023-03-11,0,0,1,2023,03,11,150.210007,150.940002,147.610001,148.500000,147.711548,68572400
AAPL,2023-06-26,0,2,0,2023,06,26,186.830002,188.050003,185.229996,185.270004,184.541245,48088700
AAPL,2023-10-10,0,0,1,2023,10,10,178.100006,179.720001,177.949997,178.389999,177.928253,43698000
AAPL,2023-07-24,0,0,1,2023,07,24,193.410004,194.910004,192.250000,192.750000,191.991821,45377800
AAPL,2023-08-19,0,0,2,2023,08,19,172.300003,175.100006,171.960007,174.490005,174.038361,61114200
AAPL,2023-11-28,0,0,1,2023,11,28,189.779999,191.080002,189.399994,190.399994,190.157349,38415400
AAPL,2023-09-10,0,0,1,2023,09,10,178.350006,180.240005,177.789993,178.179993,177.718781,65551300
AAPL,2023-08-22,0,0,2,2023,08,22,177.059998,177.679993,176.250000,177.229996,176.771255,42084200
AAPL,2023-08-15,0,0,1,2023,08,15,178.880005,179.479996,177.050003,177.449997,176.990677,43622600
AAPL,2023-03-15,1,0,0,2023,03,15,151.190002,153.250000,149.919998,152.990005,152.177719,77167900
AAPL,2023-05-31,1,0,1,2023,05,31,177.330002,179.350006,176.759995,177.250000,176.552780,99625300
AAPL,2023-05-20,1,0,0,2023,05,20,176.389999,176.389999,174.940002,175.160004,174.471008,55772400
AAPL,2023-04-15,0,0,1,2023,04,15,164.589996,166.320007,163.820007,165.210007,164.332855,49386500
AAPL,2023-05-15,0,0,2,2023,05,15,173.160004,173.210007,171.470001,172.070007,171.393173,37266700
AAPL,2023-11-19,1,0,0,2023,11,19,190.250000,190.380005,188.570007,189.690002,189.448257,50922700
AAPL,2023-07-08,0,0,1,2023,07,08,191.410004,192.669998,190.240005,190.679993,189.929932,46778000
AAPL,2023-04-02,0,0,1,2023,04,02,162.440002,165.000000,161.910004,164.899994,164.024490,68749800
AAPL,2023-12-17,0,0,1,2023,12,17,197.529999,198.399994,197.000000,197.570007,197.318222,128256700
AAPL,2023-11-12,1,0,0,2023,11,12,183.970001,186.570007,183.529999,186.399994,186.162445,66133400
AAPL,2023-12-28,0,0,2,2023,12,28,194.139999,194.660004,193.169998,193.580002,193.333298,34049900
AAPL,2024-02-11,0,1,1,2024,02,11,188.649994,189.990005,188.000000,188.850006,188.850006,45155200
AAPL,2023-10-30,0,0,3,2023,10,30,169.020004,171.169998,168.869995,170.289993,169.849197,51131000
AAPL,2023-04-26,0,0,1,2023,04,26,163.059998,165.279999,162.800003,163.759995,162.890549,45498800
AAPL,2023-04-06,0,1,1,2023,04,06,162.429993,164.960007,162.000000,164.660004,163.785767,45390100
AAPL,2024-02-12,0,0,1,2024,02,12,188.419998,188.669998,186.789993,187.149994,187.149994,41781900
AMZN,2023-12-27,1,1,4,2023,12,27,153.559998,154.779999,153.119995,153.339996,153.339996,31434700
AMZN,2024-01-26,3,0,1,2024,01,26,158.419998,160.720001,157.910004,159.119995,159.119995,51047400
AMZN,2024-01-29,1,2,3,2024,01,29,159.339996,161.289993,158.899994,161.259995,161.259995,45270400
AMZN,2024-02-01,4,2,4,2024,02,01,155.869995,159.759995,155.619995,159.279999,159.279999,76542400
AMZN,2024-01-08,1,0,1,2024,01,08,146.740005,149.399994,146.149994,149.100006,149.100006,46757100
AMZN,2023-05-18,2,1,1,2023,05,18,116.690002,118.599998,116.339996,118.150002,118.150002,73174100
